key,en,es,fr,de,it
api_error,Api Error,Error de API,Erreur API,API-Fehler,Errore API
auth_account_not_verified,"Account not verified, please check your emails for verification link","Cuenta no verificada, revise sus correos electrónicos para ver el enlace de verificación","Compte non vérifié, veuillez vérifier vos e-mails pour le lien de vérification","Konto nicht bestätigt, bitte überprüfen Sie Ihre E-Mails auf den Bestätigungslink","Account non verificato, controlla le tue e-mail per il link di verifica"
auth_already_authenticated,Already in authenticated session,Ya en sesión autenticada,Déjà en session authentifiée,Bereits in authentifizierter Sitzung,Già in sessione autenticata
auth_attempt_rate_limit,Authentication attempts cannot be made more frequently than every {{Seconds}} seconds,Los intentos de autenticación no se pueden realizar con más frecuencia que cada {{Seconds}} segundos,Les tentatives d'authentification ne peuvent pas être effectuées plus fréquemment que toutes les {{Seconds}} secondes,Authentifizierungsversuche können nicht häufiger als alle {{Seconds}} Sekunden durchgeführt werden,I tentativi di autenticazione non possono essere effettuati più frequentemente di ogni {{Seconds}} secondi
auth_confirm_email_html,"<div><a href=""{{BaseHref}}/cmn/auth/verify_email?email={{Email}}&code={{Code}}"">Please click this link to verify your email address</a></div >","<div><a href=""{{BaseHref}}/cmn/auth/verify_email?email={{Email}}&code={{Code}}"">Haga clic en este enlace para verificar su dirección de correo electrónico</a></div>","<div><a href=""{{BaseHref}}/cmn/auth/verify_email?email={{Email}}&code={{Code}}"">Veuillez cliquer sur ce lien pour vérifier votre adresse e-mail</a></div>","<div><a href=""{{BaseHref}}/cmn/auth/verify_email?email={{Email}}&code={{Code}}"">Bitte klicken Sie auf diesen Link, um Ihre E-Mail-Adresse zu bestätigen</a></div>","<div><a href=""{{BaseHref}}/cmn/auth/verify_email?email={{Email}}&code={{Code}}"">Fai clic su questo link per verificare il tuo indirizzo email</a></div>"
auth_confirm_email_subject,Confirm Email Address,Confirmar el correo,Confirmez votre adresse email,e-Mail-Adresse bestätigen,Conferma l'indirizzo e-mail
auth_confirm_email_text,Please use this link to verify your email address: {{BaseHref}}/cmn/auth/verify_email?email={{Email}}&code={{Code}},Utilice este enlace para verificar su dirección de correo electrónico: {{BaseHref}}/cmn/auth/verify_email?email={{Email}}&code={{Code}},Veuillez utiliser ce lien pour vérifier votre adresse e-mail: {{BaseHref}}/cmn/auth/verify_email?email={{Email}}&code={{Code}},"Bitte verwenden Sie diesen Link, um Ihre E-Mail-Adresse zu bestätigen: {{BaseHref}}/cmn/auth/verify_email?email={{Email}}&code={{Code}}",Utilizza questo link per verificare il tuo indirizzo email: {{BaseHref}}/cmn/auth/verify_email?email={{Email}}&code={{Code}}
auth_fcm_message_invalid,Fcm message invalid,Mensaje fcm inválido,Message Fcm invalide,Fcm-Nachricht ungültig,Messaggio Fcm non valido
auth_fcm_not_enabled,Fcm not enabled,Fcm no habilitado,FCM non activé,FCM nicht aktiviert,Fcm non abilitato
auth_fcm_token_invalid,Fcm token invalid,Token de Fcm no válido,Jeton Fcm invalide,Fcm-Token ungültig,Token Fcm non valido
auth_fcm_topic_invalid,"Fcm topic invalid Min: {{Min}}, Max: {{Max}}","Tema de Fcm no válido Min: {{Min}}, Max: {{Max}}","Sujet Fcm invalide Min: {{Min}}, Max: {{Max}}","FCM-Thema ungültig Min: {{Min}}, Max: {{Max}}","Argomento Fcm non valido Min: {{Min}}, Max: {{Max}}"
auth_invalid_email,Invalid email,Email inválido,Email invalide,Ungültige E-Mail,E-mail non valido
auth_invalid_email_code,Invalid email code,Código de correo electrónico no válido,Code e-mail invalide,Ungültiger E-Mail-Code,Codice e-mail non valido
auth_invalid_pwd,Invalid password,Contraseña invalida,Mot de passe incorrect,Ungültiges Passwort,Password non valida
auth_invalid_reset_pwd_code,Invalid reset password code,Código de restablecimiento de contraseña no válido,Code de mot de passe de réinitialisation invalide,Ungültiger Passwort-Reset-Code,Codice di reimpostazione della password non valido
auth_less_than_8_chars,Less than 8 characters,Menos de 8 caracteres,Moins de 8 caractères,Weniger als 8 Zeichen,Meno di 8 caratteri
auth_magic_link_html,"<div><a href=""{{BaseHref}}/cmn/auth/magic_link_sign_in?email={{Email}}&code={{Code}}&remember_me={{RememberMe}}"">Please click this link to login</a></div>","<div><a href=""{{BaseHref}}/cmn/auth/magic_link_sign_in?email={{Email}}&code={{Code}}&remember_me={{RememberMe}}"">Fai clic su questo link per accedere</a </div>","<div><a href=""{{BaseHref}}/cmn/auth/magic_link_sign_in?email={{Email}}&code={{Code}}&remember_me={{RememberMe}}"">Veuillez cliquer sur ce lien pour vous connecter</a ></div>","<div><a href=""{{BaseHref}}/cmn/auth/magic_link_sign_in?email={{Email}}&code={{Code}}&remember_me={{RememberMe}}"">Bitte klicken Sie auf diesen Link, um sich anzumelden</a ></div>","<div><a href=""{{BaseHref}}/cmn/auth/magic_link_sign_in?email={{Email}}&code={{Code}}&remember_me={{RememberMe}}"">Fai clic su questo link per accedere</a </div>"
auth_magic_link_subject,Magic Login Link,Collegamento di accesso magico,Lien de connexion magique,Magic-Login-Link,Collegamento di accesso magico
auth_magic_link_text,Please click this link to login: {{BaseHref}}/cmn/auth/magic_link_sign_in?email={{Email}}&code={{Code}}&remember_me={{RememberMe}},Fai clic su questo link per accedere: {{BaseHref}}/cmn/auth/magic_link_sign_in?email={{Email}}&code={{Code}}&remember_me={{RememberMe}},Veuillez cliquer sur ce lien pour vous connecter : {{BaseHref}}/cmn/auth/magic_link_sign_in?email={{Email}}&code={{Code}}&remember_me={{RememberMe}},"Bitte klicken Sie auf diesen Link, um sich anzumelden: {{BaseHref}}/cmn/auth/magic_link_sign_in?email={{Email}}&code={{Code}}&remember_me={{RememberMe}}",Fai clic su questo link per accedere: {{BaseHref}}/cmn/auth/magic_link_sign_in?email={{Email}}&code={{Code}}&remember_me={{RememberMe}}
auth_no_digit,No digit,Sin dígito,Aucun chiffre,Keine Ziffer,Nessuna cifra
auth_no_lower_case_char,No lowercase character,Sin carácter en minúsculas,Pas de caractère minuscule,Kein Kleinbuchstabe,Nessun carattere minuscolo
auth_no_special_char,No special character,Sin carácter especial,Aucun caractère spécial,Kein Sonderzeichen,Nessun carattere speciale
auth_no_upper_case_char,No uppercase character,Sin carácter en mayúscula,Pas de caractère majuscule,Kein Großbuchstabe,Nessun carattere maiuscolo
auth_not_authenticated,Not in authenticated session,No en sesión autenticada,Pas en session authentifiée,Nicht in authentifizierter Sitzung,Non in sessione autenticata
